Account Name,Acct ID,Primary Office
West Point Construction Ltd,A101,Office 1
Newmor Group Limited,A102,Office 2
Prohire Plc,A103,Office 2
G T Access Ltd,A104,Office 2
Arh Group Ltd,A105,Office 2
Barkley Plastics Ltd,A106,Office 2
M & E Maintenance Solutions Ltd,A107,Office 2
ATP Industries Group Ltd,A108,Office 2
Evolution Foods Ltd,A109,Office 2
Franklin Silencers Ltd,A110,Office 2
H.D. Ricketts Ltd,A111,Office 2
Transmanor Limited,A112,Office 2
Simons Group Ltd,A113,Office 3
"Ensco 1067 Limited, W J Holdings Limited, MCS Control Systems Limited, EMR (Brackley) Limited &  Subsidiary Companies",A114,Office 3
Hepworth Fabrication,A115,Office 3
Middleton Sheet Metal Holdings Company Ltd,A116,Office 3
LTS Distribution,A117,Office 3
DMN Logistics Ltd,A118,Office 3
Global Invacom Ltd,A119,Office 3
R & J M Place Ltd,A120,Office 3
IBP Conex Ltd,A121,Office 3
Tarilian Laser Technologies Limited,A122,Office 3
Career Development Institute,A123,Office 3
B E Wedge Holdings Limited,A124,Office 3
Vindis Group Ltd,A125,Office 3
MFG Solicitors LLP,A126,Office 3
Tudor Grange Academy,A127,Office 3
H20PHS,A128,Office 3
Schuler Presses,A129,Office 3
Brown & Co,A130,Office 3
Amada United Kingdom Limited,A131,Office 3
ARJO HUNTLEIGH INTERNATIONAL LIMITED UK,A132,Office 3
CEME,A133,Office 3
Royal National Institute of Blind People (RNIB),A134,Office 3
Eurocell Building Plastics Ltd,A135,Office 3
St Johns Ambulance,A136,Office 3
Tide way Sewage London,A137,Office 3
Subcon Lazer Cutting Ltd,A138,Office 3
Gerrys Visa Services Ltd,A139,Office 3
Lodge Tyre Co Ltd,A140,Office 3
Seymour Hotels Ltd T/as Diglis House Hotel,A141,Office 3
Sabre Retail Fashion Limited T/A Mint Velvet,A142,Office 3
Hunter Boot Limited,A143,Office 3
Harrison Randall Ltd,A144,Office 3
Scott Arms Dental practice,A145,Office 3
Thomas Dudley Limited,A146,Office 3
CoordSport Ltd,A147,Office 3
Darlington Memorial Hospital,A148,Office 3
Solihull Metropolitan Borough Council,A149,Office 1
Hickstead Estates,A150,Office 1
Tayler and Fletcher LLP,A151,Office 1
Towler Shaw Roberts,A152,Office 1
Property Services Plus,A153,Office 1
Alltrust SIPP Limited as Trustees of the Alltrust SIPP - J Regan ISS0975,A154,Office 1
Legal Indemnities,A155,Office 1
Jordans Village,A156,Office 1
F Ball & Co Ltd,A157,Office 2
Lawfield Contracts Ltd,A158,Office 2
William Hackett Chains Ltd,A159,Office 2
police mutual,A160,Office 2
Molls Meats Ltd,A161,Office 2
R & R W Bartlett Ltd,A162,Office 2
Luckmans Duckett Parker,A163,Office 2
"ADI Shuttle Group, LLC",A164,Office 2
J A Burke Construction Ltd,A165,Office 2
J G Woodcock Construction Ltd,A166,Office 2
Frederick Cooper (Birmingham) Ltd,A167,Office 2
Adi Group Ltd,A168,Office 2
NS Clarke Transport Limited,A169,Office 2
Vacuum Furnace Engineering Ltd,A170,Office 2
Thermoseal,A171,Office 2
Purity Brewing Co Limited,A172,Office 2
Brockhouse Group Ltd,A173,Office 2
Vanguard Foundry Ltd,A174,Office 2
Salop Leisure Holdings Ltd.,A175,Office 2
Lake Chemical & Minerals Ltd,A176,Office 2
Elliott Nash Limited,A177,Office 2
